Date,close,open,high,low,change,volume
2010-10-19,24090,-330,24475,24475,24090,34930000000
2010-10-20,24270,180,23950,24320,23800,31052000000
2010-10-21,24320,50,24355,24365,24025,28127000000
2010-10-22,24610,290,24380,24650,24355,16657000000
2010-10-25,24895,285,24665,24965,24630,18166000000
2010-10-26,24900,5,24895,24920,24790,19537000000
2010-10-27,24820,-80,24890,24950,24635,30467000000
2010-10-28,24770,-50,24810,24810,24655,31824000000
2010-10-29,24550,-220,24800,24810,24285,45608000000
2010-11-01,24875,325,24535,24875,24370,44451000000
2010-11-02,24895,20,24870,24925,24760,16430000000
2010-11-03,25085,190,24965,25235,24965,41436000000
2010-11-04,25210,125,25085,25245,25085,38059000000
2010-11-05,25210,0,25350,25600,25210,31710000000
2010-11-08,25285,75,25335,25355,25120,22629000000
2010-11-09,25340,55,25285,25345,25160,22679000000
2010-11-10,25625,285,25300,25625,25285,17313000000
2010-11-11,25400,-225,25580,25810,25400,30699000000
2010-11-12,24960,-440,25480,25550,24825,44337000000
2010-11-15,25000,40,24905,25220,24900,29478000000
2010-11-16,24850,-150,25000,25100,24725,36687000000
2010-11-17,24795,-55,24635,24975,24600,37568000000
2010-11-18,25200,405,24850,25235,24850,22554000000
2010-11-19,25385,185,25270,25385,25200,11562000000
2010-11-22,25500,115,25445,25595,25385,20614000000
2010-11-23,25250,-250,25500,25500,25135,23611000000
2010-11-24,25315,65,24900,25335,24750,37111000000
2010-11-25,25365,50,25380,25455,25125,19326000000
2010-11-26,25065,-300,25450,25455,24960,27271000000
2010-11-29,24975,-90,25065,25240,24845,25794000000
2010-11-30,25330,355,24980,25330,24905,37158000000
2010-12-01,25380,50,25200,25380,25050,16107000000
2010-12-02,25690,310,25485,25690,25485,27473000000
2010-12-03,25805,115,25785,25855,25700,61536000000
2010-12-06,25830,25,25870,25880,25735,24757000000
2010-12-07,25925,95,25830,25985,25815,26783000000
2010-12-08,25810,-115,25920,26030,25810,14739000000
2010-12-09,26330,520,25900,26330,25885,32458000000
2010-12-10,26330,0,26260,26330,26165,33435000000
2010-12-13,26490,160,26345,26490,26270,26011000000
2010-12-14,26570,80,26500,26595,26435,15149000000
2010-12-15,26625,55,26600,26650,26500,34929000000
2010-12-16,26605,-20,26510,26725,26510,20340000000
2010-12-17,26820,215,26670,26875,26615,16460000000
2010-12-20,26860,40,26610,26860,26535,74889000000
2010-12-21,27100,240,26950,27175,26950,33922000000
2010-12-22,27120,20,27100,27160,27050,28391000000
2010-12-23,27070,-50,27125,27170,26995,19535000000
2010-12-24,26980,-90,27070,27160,26980,27002000000
2010-12-27,26925,-55,26930,27060,26850,33462000000
